modele,prix,prix_texte,url_modele,brand
NouveauDongfeng Box,49990,49 990DT,https://www.automobile.tn/fr/neuf/dongfeng/box,dongfeng
NouveauDongfeng Shine,64990,64 990DT,https://www.automobile.tn/fr/neuf/dongfeng/shine,dongfeng
NouveauDongfeng Shine Max Hybride,90990,90 990DT,https://www.automobile.tn/fr/neuf/dongfeng/shine-max/1.5-t-hev,dongfeng
Offre limitéeDongfeng Rich 6,9390026900,93 900DT26 900 € HT,https://www.automobile.tn/fr/neuf/dongfeng/rich-6,dongfeng
Dongfeng Forthing T5 EVO,118900,118 900DT,https://www.automobile.tn/fr/neuf/dongfeng/t5-evo/1.5-l-turbo,dongfeng
Faw Bestune T77 Pro,113777,113 777DT,https://www.automobile.tn/fr/neuf/faw/bestune-t77,faw
NouveauFaw Bestune B70,94970,94 970DT,https://www.automobile.tn/fr/neuf/faw/bestune-b70/1.5-l-turbo-bva-luxury,faw
NouveauFaw Bestune T90,99990,99 990DT,https://www.automobile.tn/fr/neuf/faw/bestune-t90/1.5-l-turbo-bva-premium,faw
PromoFiat Fiorino Combi,81000830002000,81 000DT83.000 DT2000 DT avantages clients,https://www.automobile.tn/fr/neuf/fiat/fiorino-combi/1.3-l-multijet,fiat
PromoFiat Tipo Berline,78500795001000,78 500DT79.500 DT1000 DT de remisePremière visite gratuite,https://www.automobile.tn/fr/neuf/fiat/tipo-berline,fiat
PromoFiat Doblo Combi,1049001069002000,104 900DT106.900 DT2000 DT de remise,https://www.automobile.tn/fr/neuf/fiat/doblo-combi/1.6-l-hdi,fiat
Fiat Scudo Combi,15900087850,159 000DTLouage et grand taxi 87.850 DT,https://www.automobile.tn/fr/neuf/fiat/scudo-combi,fiat
Fiat Doblo,67499,67 499DT,https://www.automobile.tn/fr/neuf/fiat/doblo,fiat
PromoFiat Ducato,85000860001000,85 000DT86.000 DT1000 DT de remise,https://www.automobile.tn/fr/neuf/fiat/ducato/2.2-hdi-2025-11.5-m3-l2h2,fiat
NouveauFiat Scudo Fourgon,86000,86 000DT,https://www.automobile.tn/fr/neuf/fiat/scudo/2.0-l-hdi,fiat
Foday F22 S,99500,99 500DT,https://www.automobile.tn/fr/neuf/foday/f22-s/1.9-l-turbo-4wd,foday
Foday F22 D,109800,109 800DT,https://www.automobile.tn/fr/neuf/foday/f22/1.9-l-tid4-luxury,foday
PromoFoday F22 Max,1168008000124800,116 800DT8000 DT de remise124.800 DT,https://www.automobile.tn/fr/neuf/foday/f22-max/1.9-l-tid4-luxury,foday
NouveauFord Territory,12490024900,124 900DT24 900 $ HT,https://www.automobile.tn/fr/neuf/ford/territory,ford
Ford Everest,26000042000144799,260 000DT42 000 $ HT144.799 DT avec privilège agence de voyage,https://www.automobile.tn/fr/neuf/ford/everest,ford
PromoFord Ranger,145000310001550001000031,145 000DT31 000 $ HT155.000 DT10.000 DT de remiseJusqu'au 31 décembre,https://www.automobile.tn/fr/neuf/ford/ranger,ford
Ford Ranger Raptor,33000065800,330 000DT65 800 $ HT,https://www.automobile.tn/fr/neuf/ford/ranger-raptor/2.0-l-tdci-210-ch-4x4-bva,ford
PromoFoton Tunland G7 Simple Cabine,72700767004000302025,72 700DT76.700 DT4000 DT de remiseJusqu’au 30 novembre 2025,https://www.automobile.tn/fr/neuf/foton/tunland-g7-simple-cabine/2.0-l-turbo-4x2,foton
Foton Tunland G7 Double Cabine,107200,107 200DT,https://www.automobile.tn/fr/neuf/foton/tunland-g7-double-cabine/2.0-l-turbo-4x4,foton
Foton TM5 3.4T Chassis Cabine,58270,58 270DT,https://www.automobile.tn/fr/neuf/foton/tm5h/2.2-l-turbo,foton
Foton View CS2 Van 16 places,127501,127 501DT,https://www.automobile.tn/fr/neuf/foton/view-c2/2.0-l-turbo-16-places,foton
Série limitéeGAC Emzoom,95900,95 900DTTrottinette électrique offerte,https://www.automobile.tn/fr/neuf/gac-motor/emzoom,gac-motor
GAC Emkoo,118900,118 900DT,https://www.automobile.tn/fr/neuf/gac-motor/emkoo/1.5t-gdi-bva,gac-motor
GAC GA4,69900,69 900DT,https://www.automobile.tn/fr/neuf/gac-motor/ga4/1.5-l-bva,gac-motor
Geely GX3 Pro,62300,62 300DT,https://www.automobile.tn/fr/neuf/geely/gx3-pro,geely
Geely Emgrand,67800,67 800DT,https://www.automobile.tn/fr/neuf/geely/emgrand,geely
PromoGeely Coolray,72800,72 800DT,https://www.automobile.tn/fr/neuf/geely/coolray,geely
PromoGeely Geometry C,1090001119002900,109 000DT111.900 DT2900 DT de remiseBorne de recharge domestique EvBox,https://www.automobile.tn/fr/neuf/geely/geometry/70-kwh,geely
PromoGeely Azkarra,113800122800900030000,113 800DT122.800 DT9000 DT de remise30.000 Km d'entretien gratuit,https://www.automobile.tn/fr/neuf/geely/azkara/1.5-l-turbo-hybrid,geely
Geely Starray,12980027337,129 800DT27 337 $ HT,https://www.automobile.tn/fr/neuf/geely/starray/1.5-l-turbo-gfplus,geely
PromoGeely Tugella,19980034255300001000,199 800DT34 255 $ HT30.000 Km d'entretien gratuitCarte carburant 1000 dinars,https://www.automobile.tn/fr/neuf/geely/tugella/2.0-l-turbo-4wd-gfplus,geely
Geely Monjaro,23500036974,235 000DT36 974 $ HT,https://www.automobile.tn/fr/neuf/geely/monjaro/2.0-l-turbo-4wd-gfplus,geely
GWM Tank 300 HEV,194900,194 900DT,https://www.automobile.tn/fr/neuf/great-wall/tank-300/2.0-l,great-wall
GWM Tank 500 HEV,239900,239 900DT,https://www.automobile.tn/fr/neuf/great-wall/tank-500/2.0-l,great-wall
GWM Haval Jolion,102900,102 900DT,https://www.automobile.tn/fr/neuf/great-wall/jolion/1.5-t-fl,great-wall
NouveauGWM Haval H6 Hybride,129900,129 900DT,https://www.automobile.tn/fr/neuf/great-wall/h6-hybride/1.5-t-hev-2026,great-wall
GWM Wingle 5 Simple Cabine,80900,80 900DT,https://www.automobile.tn/fr/neuf/great-wall/wingle-5/2.0-l-diesel-4x4,great-wall
GWM Wingle 5 Double Cabine,87500,87 500DT,https://www.automobile.tn/fr/neuf/great-wall/wingle-5-double-cabine/2.0-l-diesel-4x2-2023,great-wall
PromoGWM Poer MT,1129001159003000,112 900DT115.900 DT3000 DT de remise,https://www.automobile.tn/fr/neuf/great-wall/poer/2.0-l-diesel-4x4,great-wall
PromoGWM Poer AT,1389001419003000,138 900DT141.900 DT3000 DT de remise,https://www.automobile.tn/fr/neuf/great-wall/poer-at/2.0-l-diesel-4x4-bva,great-wall
Honda City,7899016400,78 990DT16 400 $ HT,https://www.automobile.tn/fr/neuf/honda/city,honda
Honda Jazz,8599019900,85 990DT19 900 $ HT,https://www.automobile.tn/fr/neuf/honda/jazz/1.5-l-e-hev,honda
PromoHonda Civic,14599031500159990,145 990DT31 500 $ HT159.990 DTDans la limite du stock disponible,https://www.automobile.tn/fr/neuf/honda/civic/1.5-l-cvt,honda
PromoHonda Civic Hybride,17199037000186990,171 990DT37 000 $ HT186.990 DTDans la limite du stock disponible,https://www.automobile.tn/fr/neuf/honda/civic-hybride/2.0-l-e-hev,honda
Honda Civic Type R,27440055000,274 400DT55 000 $ HT,https://www.automobile.tn/fr/neuf/honda/civic-type-r/2.0-l-turbo,honda
Honda Accord,18999039900,189 990DT39 900 $ HT,https://www.automobile.tn/fr/neuf/honda/accord/1.5-l-turbo-24,honda
PromoHonda HR-V,11990025000127990,119 900DT25 000 $ HT127.990 DTDans la limite du stock disponible,https://www.automobile.tn/fr/neuf/honda/hr-v/1.5-l-cvt-ex-2023,honda
Honda ZR-V,14500032000,145 000DT32 000 $ HT,https://www.automobile.tn/fr/neuf/honda/zr-v/1.5-l-cvt,honda
Honda CR-V,19099039500,190 990DT39 500 $ HT,https://www.automobile.tn/fr/neuf/honda/cr-v/1.5-t-cvt-2025,honda
Honda CR-V Hybride,20499042900,204 990DT42 900 $ HT,https://www.automobile.tn/fr/neuf/honda/cr-v-hybride/e-hev,honda
Hyundai Grand i10 Populaire,34805,34 805DT,https://www.automobile.tn/fr/neuf/hyundai/grand-i10-populaire/1.0-l,hyundai
Hyundai Grand i10,51950,51 950DT,https://www.automobile.tn/fr/neuf/hyundai/grand-i10,hyundai
Hyundai Grand i10 Sedan,56950,56 950DT,https://www.automobile.tn/fr/neuf/hyundai/grand-i10-sedan/1.2-l-2024,hyundai
RestyléeHyundai i20,66950,66 950DT,https://www.automobile.tn/fr/neuf/hyundai/i20,hyundai
RestyléHyundai Bayon,84950,84 950DT,https://www.automobile.tn/fr/neuf/hyundai/bayon,hyundai
Hyundai Venue,90000,90 000DT,https://www.automobile.tn/fr/neuf/hyundai/venue/1.0-l-turbo-bva,hyundai
